locid,roof,surface,lat,lon,zip
UPHOENIX,Indoor,Grass,33.5277,-112.262608,85305
GADOME,Indoor,Turf,33.757614,-84.400972,30313
MTBANK,Outdoor,Turf,39.277969,-76.622767,21230
RWILSON,Outdoor,Turf,42.773739,-78.786978,14127
BOFA,Outdoor,Grass,35.225808,-80.852861,28202
SOLDIER,Outdoor,Grass,41.862306,-87.616672,60605
PBROWN,Outdoor,Turf,39.095442,-84.516039,45202
FENERGY,Outdoor,Grass,41.506022,-81.699564,44114
ATT,Indoor,Turf,32.747778,-97.092778,76011
MILEHIGH,Outdoor,Grass,39.743936,-105.020097,80204
FORD,Indoor,Turf,42.340156,-83.045808,48226
LAMBEAU,Outdoor,Grass,44.501306,-88.062167,54304
NRG,Indoor,Turf,29.684781,-95.410956,77054
LUCASOIL,Indoor,Turf,39.760056,-86.163806,46225
EVBAF,Outdoor,Grass,30.323925,-81.637356,32202
ARROWHD,Outdoor,Grass,39.048914,-94.484039,64129
SUNLIFE,Outdoor,Grass,25.957919,-80.238842,33056
METRODOME,Indoor,Turf,44.973889,-93.258056,55415
GILETTE,Outdoor,Turf,42.090925,-71.26435,2035
SUPERDOME,Indoor,Turf,29.950931,-90.081364,70112
METLIFE,Outdoor,Turf,40.812194,-74.076983,7073
COLISEUM,Outdoor,Grass,37.751411,-122.200889,94621
LINCOLN,Outdoor,Grass,39.900775,-75.167453,19148
HEINZ,Outdoor,Grass,40.446786,-80.015761,15212
QUALCOMM,Outdoor,Grass,32.783117,-117.119525,92108
CENTURYLINK,Outdoor,Turf,47.595153,-122.331625,98134
CANDLESTICK,Outdoor,Grass,37.713611,-122.386111,94124
EJONES,Indoor,Turf,38.632975,-90.188547,63101
RJAMES,Outdoor,Grass,27.975967,-82.50335,33607
NISSAN,Outdoor,Grass,36.166461,-86.771289,37213
FEDEX,Outdoor,Grass,38.907697,-76.864517,20785
TCFBANK,Outdoor,Grass,44.976,-93.225,55455
LEVIS,Outdoor,Grass,37.403,-121.97,95054
USBANK,Indoor,Turf,44.5826,-93.1529,55415
LAMEMORIAL,Outdoor,Grass,34.0051,-118.1716,90037
