locid,team,YEAR
UPHOENIX,ARI,2009
GADOME,ATL,2009
MTBANK,BAL,2009
RWILSON,BUF,2009
BOFA,CAR,2009
SOLDIER,CHI,2009
PBROWN,CIN,2009
FENERGY,CLE,2009
ATT,DAL,2009
MILEHIGH,DEN,2009
FORD,DET,2009
LAMBEAU,GB,2009
NRG,HOU,2009
LUCASOIL,IND,2009
EVBAF,JAC,2009
ARROWHD,KC,2009
SUNLIFE,MIA,2009
METRODOME,MIN,2009
GILETTE,NE,2009
SUPERDOME,NO,2009
METLIFE,NYG,2009
METLIFE,NYJ,2009
COLISEUM,OAK,2009
LINCOLN,PHI,2009
HEINZ,PIT,2009
QUALCOMM,SD,2009
CENTURYLINK,SEA,2009
CANDLESTICK,SF,2009
EJONES,STL,2009
RJAMES,TB,2009
NISSAN,TEN,2009
FEDEX,WAS,2009
UPHOENIX,ARI,2010
GADOME,ATL,2010
MTBANK,BAL,2010
RWILSON,BUF,2010
BOFA,CAR,2010
SOLDIER,CHI,2010
PBROWN,CIN,2010
FENERGY,CLE,2010
ATT,DAL,2010
MILEHIGH,DEN,2010
FORD,DET,2010
LAMBEAU,GB,2010
NRG,HOU,2010
LUCASOIL,IND,2010
EVBAF,JAC,2010
ARROWHD,KC,2010
SUNLIFE,MIA,2010
METRODOME,MIN,2010
GILETTE,NE,2010
SUPERDOME,NO,2010
METLIFE,NYG,2010
METLIFE,NYJ,2010
COLISEUM,OAK,2010
LINCOLN,PHI,2010
HEINZ,PIT,2010
QUALCOMM,SD,2010
CENTURYLINK,SEA,2010
CANDLESTICK,SF,2010
EJONES,STL,2010
RJAMES,TB,2010
NISSAN,TEN,2010
FEDEX,WAS,2010
UPHOENIX,ARI,2011
GADOME,ATL,2011
MTBANK,BAL,2011
RWILSON,BUF,2011
BOFA,CAR,2011
SOLDIER,CHI,2011
PBROWN,CIN,2011
FENERGY,CLE,2011
ATT,DAL,2011
MILEHIGH,DEN,2011
FORD,DET,2011
LAMBEAU,GB,2011
NRG,HOU,2011
LUCASOIL,IND,2011
EVBAF,JAC,2011
ARROWHD,KC,2011
SUNLIFE,MIA,2011
METRODOME,MIN,2011
GILETTE,NE,2011
SUPERDOME,NO,2011
METLIFE,NYG,2011
METLIFE,NYJ,2011
COLISEUM,OAK,2011
LINCOLN,PHI,2011
HEINZ,PIT,2011
QUALCOMM,SD,2011
CENTURYLINK,SEA,2011
CANDLESTICK,SF,2011
EJONES,STL,2011
RJAMES,TB,2011
NISSAN,TEN,2011
FEDEX,WAS,2011
UPHOENIX,ARI,2012
GADOME,ATL,2012
MTBANK,BAL,2012
RWILSON,BUF,2012
BOFA,CAR,2012
SOLDIER,CHI,2012
PBROWN,CIN,2012
FENERGY,CLE,2012
ATT,DAL,2012
MILEHIGH,DEN,2012
FORD,DET,2012
LAMBEAU,GB,2012
NRG,HOU,2012
LUCASOIL,IND,2012
EVBAF,JAC,2012
ARROWHD,KC,2012
SUNLIFE,MIA,2012
METRODOME,MIN,2012
GILETTE,NE,2012
SUPERDOME,NO,2012
METLIFE,NYG,2012
METLIFE,NYJ,2012
COLISEUM,OAK,2012
LINCOLN,PHI,2012
HEINZ,PIT,2012
QUALCOMM,SD,2012
CENTURYLINK,SEA,2012
CANDLESTICK,SF,2012
EJONES,STL,2012
RJAMES,TB,2012
NISSAN,TEN,2012
FEDEX,WAS,2012
UPHOENIX,ARI,2013
GADOME,ATL,2013
MTBANK,BAL,2013
RWILSON,BUF,2013
BOFA,CAR,2013
SOLDIER,CHI,2013
PBROWN,CIN,2013
FENERGY,CLE,2013
ATT,DAL,2013
MILEHIGH,DEN,2013
FORD,DET,2013
LAMBEAU,GB,2013
NRG,HOU,2013
LUCASOIL,IND,2013
EVBAF,JAC,2013
ARROWHD,KC,2013
SUNLIFE,MIA,2013
METRODOME,MIN,2013
GILETTE,NE,2013
SUPERDOME,NO,2013
METLIFE,NYG,2013
METLIFE,NYJ,2013
COLISEUM,OAK,2013
LINCOLN,PHI,2013
HEINZ,PIT,2013
QUALCOMM,SD,2013
CENTURYLINK,SEA,2013
CANDLESTICK,SF,2013
EJONES,STL,2013
RJAMES,TB,2013
NISSAN,TEN,2013
FEDEX,WAS,2013
UPHOENIX,ARI,2014
GADOME,ATL,2014
MTBANK,BAL,2014
RWILSON,BUF,2014
BOFA,CAR,2014
SOLDIER,CHI,2014
PBROWN,CIN,2014
FENERGY,CLE,2014
ATT,DAL,2014
MILEHIGH,DEN,2014
FORD,DET,2014
LAMBEAU,GB,2014
NRG,HOU,2014
LUCASOIL,IND,2014
EVBAF,JAC,2014
ARROWHD,KC,2014
SUNLIFE,MIA,2014
TCFBANK,MIN,2014
GILETTE,NE,2014
SUPERDOME,NO,2014
METLIFE,NYG,2014
METLIFE,NYJ,2014
COLISEUM,OAK,2014
LINCOLN,PHI,2014
HEINZ,PIT,2014
QUALCOMM,SD,2014
CENTURYLINK,SEA,2014
LEVIS,SF,2014
EJONES,STL,2014
RJAMES,TB,2014
NISSAN,TEN,2014
FEDEX,WAS,2014
UPHOENIX,ARI,2015
GADOME,ATL,2015
MTBANK,BAL,2015
RWILSON,BUF,2015
BOFA,CAR,2015
SOLDIER,CHI,2015
PBROWN,CIN,2015
FENERGY,CLE,2015
ATT,DAL,2015
MILEHIGH,DEN,2015
FORD,DET,2015
LAMBEAU,GB,2015
NRG,HOU,2015
LUCASOIL,IND,2015
EVBAF,JAC,2015
ARROWHD,KC,2015
SUNLIFE,MIA,2015
TCFBANK,MIN,2015
GILETTE,NE,2015
SUPERDOME,NO,2015
METLIFE,NYG,2015
METLIFE,NYJ,2015
COLISEUM,OAK,2015
LINCOLN,PHI,2015
HEINZ,PIT,2015
QUALCOMM,SD,2015
CENTURYLINK,SEA,2015
LEVIS,SF,2015
EJONES,STL,2015
RJAMES,TB,2015
NISSAN,TEN,2015
FEDEX,WAS,2015
UPHOENIX,ARI,2016
GADOME,ATL,2016
MTBANK,BAL,2016
RWILSON,BUF,2016
