HOME,DATE,INOUT,GRASSTURF,SPREAD,OULINE,OUACTUAL,TEMPERATURE,RELHUMIDITY,WINDSPEED,WINDCHILL,AWAY
PIT,20090910,outdoors,dessograss,-6.5,35,23,67,54,9,67,TEN
HOU,20090913,Indoors,grass,-4.5,45,31,69.5,37.5,0,69.5,NYJ
NYG,20090913,outdoors,fieldturf,-6,37,40,80,41,8,80,WAS
ARI,20090913,Indoors,grass,-4.5,45,36,69.5,37.5,0,69.5,SF
SEA,20090913,outdoors,fieldturf,-7,41,28,73,55,5,73,STL
CAR,20090913,outdoors,grass,-2.5,43.5,48,82,61,5,82,PHI
CLE,20090913,outdoors,grass,-4.5,40,54,70,0,6,70,MIN
ATL,20090913,Indoors,fieldturf,-4,44.5,26,69.5,37.5,0,69.5,MIA
BAL,20090913,outdoors,sportturf,-13,36.5,62,76,68,5,76,KC
GB,20090913,outdoors,grass,-5,47,36,76,59,0,76,CHI
IND,20090913,Indoors,fieldturf,-6,45,26,69.5,37.5,0,69.5,JAC
NO,20090913,Indoors,fieldturf,-14,50,72,69.5,37.5,0,69.5,DET
CIN,20090913,outdoors,fieldturf,-5,41,19,73,47,7,73,DEN
TB,20090913,outdoors,grass,-5,40,55,85,82,6,85,DAL
OAK,20090914,outdoors,grass,-10,43,44,63,86,12,61.77206387,SD
NE,20090914,outdoors,fieldturf,-13.5,47.5,49,70,53,5,70,BUF
DAL,20090920,Indoors,fieldturf,-3,45.5,64,69.5,37.5,0,69.5,NYG
CHI,20090920,outdoors,grass,-3,38.5,31,70,63,13,70,PIT
KC,20090920,outdoors,grass,-1.5,40,23,72,70,5,72,OAK
WAS,20090920,outdoors,grass,-10,37,16,72,62,7,72,STL
SD,20090920,outdoors,grass,-1,41,57,83,50,8,83,BAL
SF,20090920,outdoors,grass,-1,38.5,33,68,70,0,68,SEA
BUF,20090920,outdoors,astroplay,-4,42,53,74,47,4,74,TB
NYJ,20090920,outdoors,fieldturf,-3.5,45,25,69,41,5,69,NE
PHI,20090920,outdoors,grass,-2.5,46,70,68,53,2,68,NO
ATL,20090920,Indoors,fieldturf,-5.5,43.5,48,69.5,37.5,0,69.5,CAR
GB,20090920,outdoors,grass,-7.5,42,55,68,54,7,68,CIN
DEN,20090920,outdoors,grass,-3,38.5,33,82,20,9,82,CLE
JAC,20090920,outdoors,grass,-3,44,48,83,74,8,83,ARI
TEN,20090920,outdoors,grass,-7,40.5,65,77,83,13,77,HOU
DET,20090920,Indoors,fieldturf,-10,45,40,69.5,37.5,0,69.5,MIN
MIA,20090921,outdoors,grass,-3,41,50,84,67,10,84,IND
SD,20090927,outdoors,grass,-5.5,45.5,36,80,58,11,80,MIA
BUF,20090927,outdoors,astroplay,-5.5,51.5,34,64,85,9,63.59148395,NO
TB,20090927,outdoors,grass,-6.5,46,24,88,75,12,88,NYG
NYJ,20090927,outdoors,fieldturf,-1,36,41,66,90,8,66,TEN
CIN,20090927,outdoors,fieldturf,-3.5,37,43,65,76,9,64.82057997,PIT
MIN,20090927,Indoors,fieldturf,-7,39.5,51,69.5,37.5,0,69.5,SF
DET,20090927,Indoors,fieldturf,-6,39.5,33,69.5,37.5,0,69.5,WAS
PHI,20090927,outdoors,grass,-7.5,39,48,69,84,6,69,KC
HOU,20090927,Indoors,grass,-4.5,47.5,55,69.5,37.5,0,69.5,JAC
NE,20090927,outdoors,fieldturf,-4.5,45.5,36,62,96,0,62,ATL
SEA,20090927,outdoors,fieldturf,-2.5,37.5,44,60,61,7,59.24086384,CHI
